"Storm" "Year" "Name" "StartMonth" "maxWS" "minCP" "avgLat" "avgLon" "madeLandfall" "Max_Landfall_Speed" "Min_Landfall_Pressure"
"26" 6454 1963 "HELENA" 10 40.0000005960464 1001.00001491606 15.4666663209597 -60.5333319803079 FALSE 0 Inf
"27" 6521 1964 "UNNAMED" 7 30.0000004470348 1006.00001499057 27.5999993830919 -58.733332020541 FALSE 0 Inf
"28" 6524 1964 "ABBY" 8 55.0000008195639 1000.00001490116 28.5999993607402 -95.1999978721142 FALSE 0 Inf
"29" 6526 1964 "BRENDA" 8 45.0000006705523 1006.00001499057 32.7599992677569 -60.8199986405671 FALSE 0 Inf
"30" 6534 1964 "CLEO" 8 135.000002011657 950.000014156103 24.6571423060128 -66.6285699393068 TRUE 90.0000013411045 968.000014424324
"31" 6541 1964 "DORA" 9 115.000001713634 942.000014036894 24.7809518270549 -66.8190461255255 TRUE 100.000001490116 964.000014364719
"32" 6545 1964 "ETHEL" 9 95.0000014156103 969.000014439225 28.3285707953785 -60.6571415013501 FALSE 0 Inf
"33" 6551 1964 "GLADYS" 9 125.000001862645 945.000014081597 29.8628564753703 -66.7514270794179 FALSE 0 Inf
"34" 6559 1964 "HILDA" 9 130.000001937151 941.000014021993 25.514285143997 -90.0428551302424 TRUE 100.000001490116 959.000014290214
"35" 6564 1964 "ISBELL" 10 110.000001639128 964.000014364719 24.7833327793827 -80.4833315343906 TRUE 65.0000009685755 994.000014811754
"36" 6576 1964 "UNNAMED" 11 35.0000005215406 997.000014856458 14.4999996758997 -83.9999981224537 TRUE 35.0000005215406 997.000014856458
"37" 6677 1965 "BETSY" 8 135.000002011657 941.000014021993 24.7048774965834 -73.9170715185564 TRUE 135.000002011657 941.000014021993
"38" 6691 1965 "CAROL" 9 80.0000011920929 974.000014513731 32.4461531209258 -40.8461529331712 FALSE 0 Inf
"39" 6696 1965 "DEBBIE" 9 45.0000006705523 1001.00001491606 23.4888883638713 -88.4444424675571 FALSE 0 Inf
"40" 6703 1965 "ELENA" 10 70.0000010430813 977.000014558434 29.3583326771234 -56.6999987326562 FALSE 0 Inf
"41" 6748 1966 "ALMA" 6 110.000001639128 970.000014454126 27.0047613011584 -80.4238077261973 TRUE 80.0000011920929 977.000014558434
"42" 6753 1966 "BECKY" 7 65.0000009685755 985.000014677644 38.5499991383404 -54.0999987907708 FALSE 0 Inf
"43" 6756 1966 "CELIA" 7 70.0000010430813 995.000014826655 29.8749993322417 -65.0999985449016 FALSE 0 Inf
"44" 6761 1966 "ELLA" 7 45.0000006705523 1008.00001502037 19.0799995735288 -58.7999986857176 FALSE 0 Inf
"45" 6763 1966 "DOROTHY" 7 70.0000010430813 989.000014737248 39.1874991240911 -39.6874991129152 FALSE 0 Inf
"46" 6775 1966 "FAITH" 8 110.000001639128 950.000014156103 24.8062494455371 -64.5312485576142 FALSE 0 Inf
"47" 6782 1966 "GRETA" 9 50.0000007450581 1004.00001496077 20.9090904417363 -61.3999986276031 FALSE 0 Inf
"48" 6801 1966 "HALLIE" 9 45.0000006705523 997.000014856458 20.7499995362014 -96.0499978531152 TRUE 45.0000006705523 997.000014856458
